Team,Touchback,Onside
49ers,.4211.0333
Bears,.5,.1
Bengals,.6623,.1
Bills,.5244,.10
Broncos,.8030,.04
Browns,.4355,.1
Buccaneers,.8171.1
Cardinals,.7625,.1
Chargers,.5750,.1
Chiefs,.6173,.1
Colts,.5,.1
Cowboys,.8118,.25
Dolphins,.697,.05
Eagles,.5068,.05
Falcons,.5,.33
Football Team,.6212,.05
Giants,.4262,.04
Jaguars,4043,.04
Jets,.6102,.04
Lions,.4138,.1
Packers,4267,.1
Panthers,.625,.08
Patriots,.4235,.1
Raiders,.5857,.1
Rams,.6235,.1
Ravens,.5263,.1
Saints,.5857,.1
Seahawks,.2951,.06
Steelers,.5068,.1
Texans,.5192,.17
Titans,.5333,.1
Vikings,.8148,.05